#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:25.160725343Z,0,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:26.161310667Z,0.009621975,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:27.161184484Z,0.010652451,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:28.160842915Z,0.013183873,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:29.161213189Z,0.018071741,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:30.161103876Z,0.020581792,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:31.161305099Z,0.01866188,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:32.160831149Z,0.019454392,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:33.161558791Z,0.024469543,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:34.160723513Z,0.019217335,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:35.163990765Z,0.021510013,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:36.161194626Z,0.048016575,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:37.160887561Z,0.055296653,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:38.161556783Z,0.056465222,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:39.160680976Z,0.057526414,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:40.161427795Z,0.05604697,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:41.161656756Z,0.055972728,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:42.161383826Z,0.056161656,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:43.161540823Z,0.053322331,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:44.160894703Z,0.056478013,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:45.16085143Z,0.056481685,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:46.161152112Z,0.058080531,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:47.160798384Z,0.064358216,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:48.161333279Z,0.05684102,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:49.161053708Z,0.05857863,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:50.161458469Z,0.05495076,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:51.161688404Z,0.055961671,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:52.16066828Z,0.052114607,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:53.160699043Z,0.063988189,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:54.160959623Z,0.063232071,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:55.160804909Z,0.059162861,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:56.160842724Z,0.056587008,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:57.161655953Z,1.014673007,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:58.161688726Z,0.055791788,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:22:59.161118894Z,0.054810157,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:00.161698825Z,0.056201749,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:01.16105014Z,0.058553824,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:02.161646457Z,0.05814189,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:03.160704382Z,0.053975546,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:04.160991015Z,0.061315654,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:05.161556207Z,0.055432043,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:06.160926457Z,0.053544889,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:07.16120469Z,0.058770896,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:08.161484124Z,0.060013566,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:09.161294898Z,0.05770653,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:10.161583371Z,0.058842062,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:11.1611744Z,0.055498112,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:12.160672712Z,0.054811317,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:13.160857747Z,0.052150847,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:14.160827914Z,0.052830888,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:15.160890469Z,0.060883446,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:16.160694638Z,0.055805401,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:17.161103696Z,0.05802682,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:18.160997435Z,0.056983961,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:19.160814611Z,0.057634132,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:20.161530395Z,0.052824289,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:21.161640324Z,0.052223239,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:22.161523543Z,0.050927544,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:23.160958418Z,0.051157101,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:24.161195549Z,0.058087326,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:25.160992126Z,0.052822154,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:26.161598949Z,0.055488837,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:27.160788704Z,0.054323088,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:28.160688439Z,0.055253817,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:29.16079811Z,0.058607224,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:30.16105166Z,0.056725242,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:31.16063531Z,0.05773679,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:32.161285461Z,0.053480086,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:33.160757704Z,0.051836027,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:34.161022476Z,0.063048287,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:35.161048711Z,1.672760291,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:36.161370683Z,2.05687179,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:37.160940529Z,2.059540506,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:38.161047046Z,2.223258803,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:39.161313183Z,2.223258803,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:40.160912634Z,2.242272401,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:41.161587731Z,2.242272401,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:42.160954116Z,2.242272401,p50,dimmer_response_time
,,0,2021-05-12T09:22:25Z,2021-05-12T11:56:00Z,2021-05-12T09:23:43.161091063Z,2.242272401,p50,dimmer_response_time
