,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:19.410743384Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:20.410857947Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:21.410186173Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:22.410140637Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:23.410436711Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:24.410257044Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:25.410330669Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:26.410769405Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:27.410160539Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:28.410323143Z,0,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:29.41102876Z,0.0619507951495466,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:30.411143269Z,0.39944479524598986,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:31.410244959Z,0.39944479524598986,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:32.410806266Z,0.8027909563381654,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:33.410355247Z,0.8027909563381654,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:34.411073112Z,1.3681195976532163,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:35.410555995Z,1.3681195976532163,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:36.410915819Z,2.3416041686879723,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:37.410266964Z,2.3416041686879723,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:38.410323085Z,2.768358887167691,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:39.410763006Z,3.356822870869201,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:40.411003294Z,4.663377381209565,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:41.410401002Z,4.663377381209565,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:42.411604692Z,6.209859825419532,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:43.410485359Z,6.209859825419532,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:44.410323088Z,7.257327761422797,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:45.411099234Z,8.864803087288708,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:46.410806814Z,8.864803087288708,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:47.410307888Z,10.175134979891624,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:48.41022243Z,10.175134979891624,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:49.410340748Z,12.972935005842546,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:50.410779459Z,13.862434061435664,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:51.410785043Z,16.27506249047469,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:52.410475698Z,16.27506249047469,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:53.410333402Z,17.987052230508297,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:54.410401621Z,18.86715723733328,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:55.410538593Z,19.811413951715004,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:56.410302652Z,19.811413951715004,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:57.41092848Z,21.484286657861695,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:58.410261848Z,21.484286657861695,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:25:59.411047349Z,22.979369765867517,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:00.410890649Z,22.979369765867517,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:01.410701534Z,24.488819904630574,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:02.410201864Z,24.488819904630574,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:03.410904913Z,25.976958951267868,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:04.410603473Z,25.976958951267868,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:05.410948076Z,27.240458679113456,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:06.415136366Z,27.78591628066557,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:07.410368641Z,27.78591628066557,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:08.410692247Z,29.005610136089068,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:09.410217808Z,29.005610136089068,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:10.410166509Z,34.097619495064166,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:11.410467163Z,34.299794827744634,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:12.41047998Z,34.55730151622221,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:13.410530584Z,34.6781889982729,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:14.410358727Z,34.6781889982729,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:15.410277203Z,35.58683319428191,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:16.41057409Z,35.304395415326425,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:17.41072112Z,35.02945693497107,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:18.411101891Z,34.98475556242249,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:19.410635552Z,34.98475556242249,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:20.410290879Z,35.112829496576644,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:21.410051456Z,35.112829496576644,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:22.411011801Z,35.23328409388152,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:23.410489925Z,35.23328409388152,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:24.410710104Z,35.31278936005511,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:25.410252008Z,35.31278936005511,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:26.410546333Z,35.63958369276604,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:27.410338683Z,35.63958369276604,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:28.410617578Z,35.892292614116755,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:29.410400425Z,35.892292614116755,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:30.410452814Z,36.225061336774594,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:31.410964339Z,36.18885615597491,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:32.410852744Z,36.18885615597491,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:33.410672278Z,36.43980707257583,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:34.410951358Z,36.432046484908696,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:35.410967718Z,36.42710343116767,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:36.410166804Z,36.42710343116767,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:37.410777025Z,36.5788506855594,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:38.410274886Z,36.5788506855594,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:39.410307478Z,36.649404398341005,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:40.410358544Z,36.42754921272397,output,dimmer_output
,,0,2021-05-18T14:25:19Z,2021-05-18T14:29:29Z,2021-05-18T14:26:41.410943082Z,36.419484888226556,output,dimmer_output
