,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:27.297858835Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:28.297713099Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:29.298500695Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:30.298342926Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:31.29805633Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:32.298048236Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:33.29856061Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:34.298163014Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:35.298110357Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:36.297664175Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:37.297734595Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:38.298203416Z,0.0635321645197866,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:39.298053054Z,0.0635321645197866,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:40.298113664Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:41.298266563Z,0.053266578708826895,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:42.298552858Z,0.10293798455233549,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:43.297751091Z,0.10293798455233549,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:44.298149003Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:45.297557947Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:46.29824719Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:47.298000412Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:48.297709626Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:49.297780574Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:50.29777063Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:51.298436548Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:52.298015999Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:53.297980749Z,0,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:54.297988997Z,0.02475180197777438,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:55.298055233Z,0.22966239450361425,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:56.298417135Z,0.4239790770823366,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:57.298019102Z,0.4239790770823366,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:58.298313481Z,0.32738084133085676,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:45:59.29771628Z,0.32738084133085676,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:00.297555079Z,0.48911868386465085,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:01.297564005Z,0.7810078693500635,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:02.298353473Z,1.0101994177227365,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:03.297613017Z,1.0101994177227365,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:04.298106093Z,1.2452440211354434,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:05.298146228Z,1.8787277218014218,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:06.298333429Z,2.537440787866501,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:07.297852598Z,2.537440787866501,output,dimmer_output
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,2021-05-17T15:46:08.298171949Z,3.689956864991417,output,dimmer_output
