,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:36.004410459Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:37.004423214Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:38.004001672Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:39.0049713Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:40.003925895Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:41.004371531Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:42.004686677Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:43.004595686Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:44.004775339Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:45.004867998Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:46.004088431Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:47.004049054Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:48.004638938Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:49.004130725Z,0,output,dimmer_output
,,0,2021-05-16T19:02:36Z,2021-05-16T19:32:47Z,2021-05-16T19:02:50.004099087Z,0,output,dimmer_output
