,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:10:58.839973549Z,0.174222381,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:10:59.839940444Z,0.210536979,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:00.839448659Z,0.20873406,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:01.840023331Z,0.210043955,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:02.83984928Z,0.210043955,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:03.839903657Z,0.210632571,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:04.83990382Z,1.011502997,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:05.839977707Z,0.216733029,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:06.840522066Z,0.338995283,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:07.839689178Z,1.050500802,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:08.840132699Z,0.609699521,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:09.840255645Z,2.051988636,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:10.840306384Z,0.376909585,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:11.839538488Z,2.055346922,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:12.840436497Z,1.058563788,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:13.839502857Z,1.116562243,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:14.839949923Z,3.058895376,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:15.839352488Z,2.159856155,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:16.839979308Z,2.244404951,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:17.8401115Z,3.05459054,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:18.840379149Z,3.058575411,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:19.840403583Z,4.54075365,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:20.840112725Z,3.451972604,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:21.840280788Z,5.058668785,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:22.83959567Z,4.062850838,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:23.839611066Z,3.949540577,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:24.839796472Z,4.061981066,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:25.839815376Z,3.897846216,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:26.840011533Z,6.056770258,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:27.840512184Z,4.030478554,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:28.83991546Z,4.064633806,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:29.839877507Z,5.621104289,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:30.839950196Z,3.362193765,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:31.839776099Z,3.363308507,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:32.83993226Z,3.747828212,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:33.839998821Z,3.936979486,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:34.839869209Z,3.71132831,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:35.840211373Z,3.553604666,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:36.840268016Z,3.469399023,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:37.840074676Z,3.37602278,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:38.839394634Z,3.675980621,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:39.839708397Z,10.25416688,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:40.839648257Z,4.058839398,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:41.839528421Z,3.61206593,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:42.840449432Z,4.058676462,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:43.84030178Z,4.102504104,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:44.83954665Z,4.063112163,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:45.840198086Z,4.154952204,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:46.839753016Z,4.790438765,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:47.839698184Z,4.641018132,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:48.840448654Z,2.645333294,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:49.839941497Z,3.02457637,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:50.84028371Z,3.088367307,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:51.840314151Z,3.317411757,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:52.839389248Z,3.296831587,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:53.840303076Z,3.496924176,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:54.840335841Z,3.390633962,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:55.839532069Z,3.182074343,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:56.839824522Z,4.848212972,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:57.840062627Z,4.309973521,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:58.839355011Z,4.414028628,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:11:59.839781916Z,4.023987007,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:00.84029041Z,4.058975035,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:01.839829109Z,3.196851091,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:02.839617432Z,3.369813131,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:03.840121664Z,4.059259585,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:04.840371617Z,3.234181765,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:05.839660276Z,3.615722831,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:06.839616456Z,4.086892505,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:07.840070748Z,3.618403171,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:08.840237238Z,4.058783127,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:09.839903516Z,3.053037861,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:10.840087045Z,5.059198044,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:11.840102491Z,3.490015207,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:12.83984334Z,3.208380174,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:13.839833119Z,4.017230487,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:14.840080321Z,3.102247831,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:15.839907542Z,3.785462119,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:16.840128711Z,4.060328128,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:17.839412728Z,3.315491835,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:18.839500263Z,3.027877792,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:19.840189665Z,4.194011784,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:20.840069478Z,4.239485772,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:21.839726339Z,3.396714426,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:22.83941112Z,3.226554214,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:23.840179974Z,3.146171523,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:24.840051586Z,3.66791651,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:25.840449801Z,3.127751224,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:26.840107218Z,3.028065187,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:27.840330391Z,2.577822845,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:28.839884567Z,4.051766954,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:29.839917003Z,3.490599573,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:30.83954059Z,3.136815862,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:31.839920998Z,4.291109956,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:32.839433129Z,4.097502175,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:33.839627551Z,4.057208693,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:34.839506433Z,4.648267157,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:35.840123719Z,3.995418008,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:36.840003116Z,3.416748462,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:37.839505702Z,3.498126183,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:38.840127734Z,3.254587557,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:39.840325201Z,3.811647258,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:40.840333329Z,3.601613996,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:41.839709868Z,3.943608812,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:42.840449985Z,4.053653342,p95,dimmer_response_time
,,0,2021-05-09T16:10:58Z,2021-05-09T17:02:28Z,2021-05-09T16:12:43.840070498Z,3.686320997,p95,dimmer_response_time
