,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:00.389610387Z,0,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:01.389893179Z,0,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:02.390527997Z,0.189368389,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:03.389683891Z,0.208686483,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:04.390042812Z,0.206237748,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:05.390208782Z,0.207862204,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:06.390157245Z,0.223555614,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:07.390382184Z,0.21725833,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:08.389591382Z,0.232219813,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:09.389526177Z,0.337545578,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:10.390377188Z,1.022341865,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:11.389694849Z,0.329710849,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:12.390381202Z,1.051829283,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:13.390225991Z,0.318732006,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:14.390135539Z,3.01648625,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:15.389571751Z,2.052529034,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:16.389856788Z,2.137560488,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:17.39006001Z,2.503332943,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:18.38975761Z,1.620777973,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:19.389778126Z,2.249468697,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:20.38991506Z,4.053153695,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:21.38959979Z,3.398080641,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:22.389747866Z,4.110499817,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:23.389622928Z,5.301429006,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:24.389634809Z,5.00373481,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:25.389986698Z,5.060454158,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:26.390626405Z,6.462488234,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:27.390273107Z,6.893198584,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:28.3895903Z,6.986314199,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:29.38965685Z,5.066372107,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:30.389904521Z,8.594766894,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:31.389783082Z,5.057258092,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:32.389633534Z,5.178282413,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:33.39041812Z,5.827688708,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:34.389544044Z,9.493353036,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:35.389676237Z,5.440784735,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:36.390317103Z,5.495619217,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:37.389640095Z,6.07475943,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:38.389900455Z,5.47759516,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:39.38976961Z,6.521110882,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:40.389659388Z,8.653699598,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:41.389815712Z,6.604381939,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:42.390353837Z,6.092446871,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:43.390062981Z,6.990616294,p95,dimmer_response_time
,,0,2021-05-09T20:39:00Z,2021-05-09T21:39:23Z,2021-05-09T20:39:44.389860785Z,6.371219694,p95,dimmer_response_time
