elapsed,temperature,pid,err,p,i,d
0,0.000,30.000,60.000,30.000,0.000,0.000
10,1.000,31.148,59.900,29.950,1.198,-0.000
20,2.115,32.241,59.699,29.849,2.392,-0.000
30,3.339,33.277,59.395,29.697,3.580,-0.000
40,4.667,34.254,58.989,29.494,4.760,-0.000
50,6.092,35.170,58.481,29.240,5.929,-0.000
60,7.609,36.022,57.872,28.936,7.087,-0.000
70,9.211,36.812,57.163,28.582,8.230,-0.000
80,10.892,37.536,56.358,28.179,9.357,-0.000
90,12.646,38.195,55.457,27.729,10.466,-0.000
100,14.465,38.788,54.465,27.233,11.556,-0.000
110,16.344,39.315,53.384,26.692,12.623,-0.000
120,18.276,39.777,52.218,26.109,13.668,-0.000
130,20.254,40.173,50.971,25.485,14.687,-0.000
140,22.271,40.503,49.647,24.823,15.680,-0.000
150,24.321,40.770,48.250,24.125,16.645,-0.000
160,26.398,40.973,46.785,23.393,17.581,-0.000
170,28.495,41.114,45.257,22.629,18.486,-0.000
180,30.607,41.195,43.671,21.835,19.359,-0.000
190,32.726,41.215,42.031,21.016,20.200,-0.000
200,34.848,41.178,40.343,20.172,21.007,-0.000
210,36.966,41.085,38.612,19.306,21.779,-0.000
220,39.074,40.938,36.844,18.422,22.516,-0.000
230,41.168,40.738,35.042,17.521,23.217,-0.000
240,43.242,40.488,33.214,16.607,23.881,-0.000
250,45.291,40.190,31.364,15.682,24.508,-0.000
260,47.310,39.846,29.496,14.748,25.098,-0.000
270,49.294,39.459,27.617,13.809,25.650,-0.000
280,51.240,39.031,25.732,12.866,26.165,-0.000
290,53.143,38.564,23.844,11.922,26.642,-0.000
300,55.000,38.061,21.960,10.980,27.081,-0.000
310,56.806,37.524,20.083,10.042,27.483,-0.000
320,58.558,36.957,18.219,9.110,27.847,-0.000
330,60.254,36.361,16.372,8.186,28.175,-0.000
340,61.890,35.738,14.546,7.273,28.466,-0.000
350,63.464,35.093,12.745,6.372,28.720,-0.000
360,64.973,34.426,10.973,5.486,28.940,-0.000
370,66.416,33.742,9.234,4.617,29.125,-0.000
380,67.790,33.041,7.532,3.766,29.275,-0.000
390,69.094,32.327,5.869,2.935,29.393,-0.000
400,70.327,31.602,4.250,2.125,29.478,-0.000
410,71.487,30.869,2.676,1.338,29.531,-0.000
420,72.574,30.130,1.151,0.575,29.554,-0.000
430,73.587,29.386,-0.323,-0.161,29.548,-0.000
440,74.525,28.641,-1.743,-0.872,29.513,-0.000
450,75.389,27.897,-3.108,-1.554,29.451,-0.000
460,76.179,27.155,-4.415,-2.207,29.362,-0.000
470,76.895,26.418,-5.663,-2.831,29.249,-0.000
480,77.536,25.687,-6.850,-3.425,29.112,-0.000
490,78.105,24.965,-7.976,-3.988,28.953,-0.000
500,78.602,24.253,-9.038,-4.519,28.772,-0.000
510,79.027,23.553,-10.037,-5.019,28.571,-0.000
520,79.382,22.866,-10.972,-5.486,28.352,-0.000
530,79.669,22.194,-11.841,-5.921,28.115,-0.000
540,79.888,21.539,-12.646,-6.323,27.862,-0.000
550,80.042,20.901,-13.386,-6.693,27.594,-0.000
560,80.132,20.283,-14.060,-7.030,27.313,-0.000
570,80.160,19.684,-14.670,-7.335,27.020,-0.000
580,80.129,19.107,-15.216,-7.608,26.715,-0.000
590,80.040,18.552,-15.698,-7.849,26.401,-0.000
600,79.895,18.020,-16.118,-8.059,26.079,-0.000
610,79.697,17.511,-16.476,-8.238,25.749,-0.000
620,79.448,17.027,-16.773,-8.387,25.414,-0.000
630,79.151,16.568,-17.011,-8.505,25.074,-0.000
640,78.808,16.135,-17.191,-8.595,24.730,-0.000
650,78.421,15.727,-17.314,-8.657,24.384,-0.000
660,77.994,15.345,-17.382,-8.691,24.036,-0.000
670,77.528,14.990,-17.396,-8.698,23.688,-0.000
680,77.027,14.661,-17.359,-8.680,23.341,0.000
690,76.493,14.359,-17.273,-8.636,22.995,0.000
700,75.929,14.083,-17.138,-8.569,22.653,0.000
710,75.338,13.834,-16.958,-8.479,22.314,0.000
720,74.721,13.612,-16.735,-8.367,21.979,0.000
730,74.082,13.415,-16.469,-8.235,21.649,0.000
740,73.424,13.244,-16.165,-8.082,21.326,0.000
750,72.748,13.098,-15.823,-7.912,21.010,0.000
760,72.058,12.977,-15.447,-7.723,20.701,0.000
770,71.356,12.881,-15.037,-7.519,20.400,0.000
780,70.644,12.809,-14.598,-7.299,20.108,0.000
790,69.925,12.760,-14.131,-7.065,19.825,0.000
800,69.201,12.734,-13.638,-6.819,19.553,0.000
810,68.474,12.730,-13.121,-6.561,19.290,0.000
820,67.747,12.747,-12.584,-6.292,19.039,0.000
830,67.022,12.784,-12.028,-6.014,18.798,0.000
840,66.300,12.841,-11.455,-5.727,18.569,0.000
850,65.584,12.918,-10.868,-5.434,18.352,0.000
860,64.876,13.012,-10.269,-5.134,18.146,0.000
870,64.177,13.123,-9.659,-4.830,17.953,0.000
880,63.489,13.251,-9.042,-4.521,17.772,0.000
890,62.815,13.394,-8.420,-4.210,17.604,0.000
900,62.154,13.551,-7.793,-3.897,17.448,0.000
910,61.509,13.722,-7.165,-3.582,17.305,0.000
