,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:25.921698843Z,0,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:26.922378217Z,0.01217505,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:27.922184845Z,0.355230331,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:28.922724496Z,0.485522329,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:29.922521364Z,0.630883527,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:30.922477745Z,0.933768125,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:31.921751727Z,1.191447728,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:32.921787339Z,1.621550302,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:33.922533662Z,1.925368635,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:34.921929162Z,2.058153374,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:35.922606247Z,2.944482425,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:36.922188947Z,3.694824321,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:37.922657424Z,3.898343462,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:38.921770832Z,5.304034239,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:39.922015962Z,5.799803793,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:40.921739103Z,4.707711473,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:41.921735332Z,5.055796814,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:42.92177801Z,8.221966307,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:43.921740812Z,8.016349887,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:44.921868679Z,8.42139663,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:45.921835956Z,6.058184191,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:46.922542088Z,10.47263624,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:47.92191452Z,11.024442468,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:48.922377213Z,6.285457681,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:49.922387961Z,6.669490221,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:50.922386399Z,7.2743698,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:51.922148955Z,7.171015408,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:52.921799401Z,13.804502104,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:53.922115502Z,7.504150091,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:54.921967462Z,14.463663629,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:55.921758321Z,15.354988515,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:56.921739404Z,15.323226829,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:57.921741602Z,15.702897771,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:58.922281182Z,15.391403424,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:30:59.92197149Z,15.854325693,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:31:00.922287148Z,16.517433788,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:31:01.921962331Z,10.268591713,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:31:02.922294555Z,9.751027632,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:31:03.922662224Z,10.232212896,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:31:04.922190197Z,10.999982464,p95,dimmer_response_time
,,0,2021-05-10T10:30:25Z,2021-05-10T11:00:25Z,2021-05-10T10:31:05.921825789Z,9.535699339,p95,dimmer_response_time
