#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:32.649965905Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:33.649540106Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:34.650160807Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:35.64978948Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:36.649644918Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:37.649092282Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:38.64907543Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:39.649727687Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:40.650517015Z,0.09984004861370455,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:41.649127108Z,0.09984004861370455,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:42.649836527Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:43.649499078Z,0,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:44.649840634Z,0.19233374986028995,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:45.64957656Z,0.19233374986028995,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:46.649855072Z,0.42099433027318556,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:47.649173719Z,0.42099433027318556,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:48.649051973Z,0.709615072888345,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:49.649789005Z,1.2688638313598077,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:50.649107907Z,1.2688638313598077,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:51.649565007Z,2.529451350692686,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:52.64992606Z,4.2188470486747764,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:53.649579657Z,4.2188470486747764,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:54.649202563Z,5.166599356655936,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:55.649314407Z,6.8416212505377345,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:56.649436748Z,9.221096131476774,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:57.649365881Z,9.221096131476774,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:58.649523102Z,11.775380331295718,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:59.649210114Z,11.775380331295718,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:00.649601019Z,15.147523760790072,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:01.649813831Z,17.50906270751394,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:02.649797238Z,17.50906270751394,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:03.650034577Z,20.974048797501403,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:04.649170478Z,20.974048797501403,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:05.64955543Z,23.666625675349522,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:06.649509927Z,23.666625675349522,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:07.64934783Z,26.60614700993453,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:08.64978092Z,29.525402826120263,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:09.649112486Z,29.525402826120263,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:10.649494158Z,34.063380553733126,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:11.649172747Z,34.063380553733126,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:12.649043997Z,37.18219778296888,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:13.649559604Z,38.835226168254366,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:14.649740807Z,40.533585410466785,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:15.649339658Z,40.533585410466785,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:16.64915645Z,43.50800561807628,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:17.649212333Z,44.92225262418302,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:18.649296032Z,46.378365584219225,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:19.64995882Z,47.75144541472772,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:20.649778306Z,47.75144541472772,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:21.649869873Z,50.24169956074124,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:22.649223821Z,50.24169956074124,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:23.649233826Z,52.46881794324838,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:24.649118569Z,52.46881794324838,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:25.650061156Z,59.09653680713066,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:26.649448758Z,59.09653680713066,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:27.649166979Z,61.0035468835508,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:28.64919359Z,66.26744512427709,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:29.649533914Z,68.95543669370726,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:30.64927958Z,68.95543669370726,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:31.649982943Z,70.31520012896098,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:32.649167225Z,70.31520012896098,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:33.649121428Z,71.26725125435041,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:34.650107554Z,70.60931607618085,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:35.649541931Z,70.60931607618085,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:36.64969464Z,71.02343291437754,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:37.649627854Z,71.02343291437754,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:38.649686966Z,71.33700135799656,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:39.649599393Z,71.33700135799656,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:40.649007248Z,71.62596514129824,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:41.649669989Z,71.15406966719597,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:42.649670866Z,70.68533512913169,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:43.649557621Z,70.68533512913169,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:44.649637659Z,70.96114174913227,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:45.649628589Z,70.96114174913227,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:46.649718583Z,71.16155222293973,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:47.649233498Z,71.16155222293973,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:48.649949281Z,71.21901826384386,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:49.649897248Z,71.21901826384386,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:50.649525283Z,71.4098737800376,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:51.649225705Z,71.4098737800376,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:52.649663889Z,71.53753849132393,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:53.649469727Z,71.53753849132393,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:54.64918151Z,71.45372164829844,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:55.649076338Z,71.45372164829844,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:56.649216582Z,71.46690899943411,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:57.649139484Z,71.46690899943411,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:58.64931663Z,71.2969001408494,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:59.649665962Z,71.0467547697591,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:00.6491876Z,71.0467547697591,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:01.649064496Z,70.93846649194198,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:02.649500548Z,70.47115117703902,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:03.649656009Z,70.04193377182695,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:04.649224355Z,70.04193377182695,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:05.649478206Z,69.58772085318665,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:06.649865488Z,69.14510206576513,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:07.649169084Z,69.14510206576513,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:08.649039437Z,68.61944226973264,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:09.649494973Z,68.23352401850791,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:10.649674092Z,67.70814794020598,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:11.649595827Z,67.70814794020598,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:12.649358882Z,66.96389939848792,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:13.649541669Z,66.65156872567707,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:14.649113876Z,66.65156872567707,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:15.649147772Z,66.0162723341346,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:16.649479578Z,65.5011495942748,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:17.649720492Z,65.04687893845325,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:18.649739999Z,64.79560445834431,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:19.649851589Z,64.63326913765965,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:20.649066957Z,64.63326913765965,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:21.649102093Z,64.19796723070465,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:22.649730601Z,63.9517086346801,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:23.650082829Z,63.44662745744058,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:24.649146169Z,63.44662745744058,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:25.649075683Z,62.74571500609731,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:26.649099186Z,62.43071835424985,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:27.649079598Z,62.43071835424985,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:28.649797443Z,62.21104547269322,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:29.649610781Z,62.21104547269322,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:30.64978903Z,61.76230507380671,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:31.649333658Z,61.76230507380671,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:32.649090073Z,61.33240516755099,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:33.649604511Z,61.36005898020504,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:34.649209422Z,61.36005898020504,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:35.649745504Z,60.95440442359971,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:36.649692681Z,60.95440442359971,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:37.649666369Z,60.2792756362515,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:38.649105619Z,60.2792756362515,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:39.649710178Z,59.64427532686596,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:40.649197031Z,59.64427532686596,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:41.649844117Z,59.34683675431952,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:42.649338692Z,59.34683675431952,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:43.649820004Z,59.172576213808796,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:44.649098486Z,59.172576213808796,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:45.649622815Z,59.10647634475825,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:46.649490893Z,59.10647634475825,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:47.649244612Z,58.97665368006889,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:48.649618658Z,58.78043917286853,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:49.649559085Z,58.78043917286853,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:50.649100406Z,58.57834826114916,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:51.649237597Z,58.15677660982921,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:52.650134571Z,57.8630315243843,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:53.649239083Z,57.8630315243843,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:54.649122407Z,57.57637553912023,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:55.649251416Z,57.39859124668291,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:56.649079673Z,57.39859124668291,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:57.649928375Z,57.4943712127203,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:58.650208482Z,57.30277863859949,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:19:59.649205905Z,57.30277863859949,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:00.650000558Z,56.71815082248516,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:01.649133028Z,56.71815082248516,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:02.649983413Z,56.35443773271855,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:03.649088109Z,56.35443773271855,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:04.649109356Z,55.9887799716699,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:05.649173007Z,55.548922967009155,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:06.649645852Z,55.34271525426284,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:07.649180815Z,55.34271525426284,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:08.649328069Z,54.98846264252601,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:09.649576526Z,54.83537255002389,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:10.649484196Z,54.83537255002389,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:11.6500876Z,54.455124952713945,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:12.649987859Z,54.455124952713945,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:13.649711006Z,54.28022695266824,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:14.649741189Z,54.44900027177964,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:15.649853495Z,54.275718229255205,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:16.649067733Z,54.275718229255205,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:17.649964081Z,54.414156936931995,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:18.649573073Z,54.414156936931995,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:19.649224347Z,53.97370292831187,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:20.649287523Z,53.62807479234799,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:21.649092667Z,53.62807479234799,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:22.649239423Z,53.41321272871903,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:23.650120612Z,52.990671093438586,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:24.649655051Z,52.990671093438586,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:25.650126531Z,52.48184252765681,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:26.649062813Z,52.48184252765681,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:27.649809776Z,52.2359077943228,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:28.64914622Z,52.2359077943228,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:29.649356696Z,51.87372670182013,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:30.649766421Z,51.69057142175256,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:31.649393347Z,51.69057142175256,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:32.649155689Z,51.42687008997509,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:33.649785174Z,51.457073166129526,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:34.650036436Z,51.32854217716931,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:35.649470839Z,51.32854217716931,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:36.649552757Z,50.974472384528276,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:37.649656975Z,50.7828611119749,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:38.649884258Z,51.059308417710604,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:39.649945459Z,50.862823238872046,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:40.649447751Z,50.862823238872046,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:41.649155724Z,50.52741277687536,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:42.649429104Z,50.419540973235485,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:43.649695096Z,50.14479909000441,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:44.649711588Z,49.95292260537189,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:45.649980455Z,49.98136400860389,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:46.649392892Z,49.98136400860389,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:47.649717034Z,49.65005545461143,output,dimmer_output
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:20:48.649790996Z,49.49853472841389,output,dimmer_output
