#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:32.649947265Z,0,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:33.649519452Z,0.009721716,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:34.650107875Z,0.01565972,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:35.64976838Z,0.016223558,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:36.649613495Z,0.017486677,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:37.649074067Z,0.017152144,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:38.649059811Z,0.020261494,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:39.649637978Z,0.021189422,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:40.650496415Z,0.020269635,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:41.649111018Z,0.021811853,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:42.649822057Z,0.020928286,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:43.649474871Z,0.027694771,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:44.649808782Z,0.05354348,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:45.649528746Z,0.052934626,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:46.64982978Z,0.05465889,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:47.649133472Z,0.061963111,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:48.649035056Z,0.053972775,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:49.649760234Z,0.055069125,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:50.649087665Z,0.058797514,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:51.649550572Z,0.057790415,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:52.649888413Z,0.055396871,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:53.649562972Z,0.05825685,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:54.649177497Z,0.059098639,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:55.649288064Z,0.05606056,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:56.649371688Z,0.060925634,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:57.649339437Z,0.055743308,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:58.649497397Z,0.058393148,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:17:59.64918527Z,0.052250266,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:00.649569133Z,0.057251831,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:01.649789717Z,0.060001394,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:02.649781397Z,0.054467781,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:03.650008594Z,0.056089223,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:04.649145266Z,0.051644551,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:05.649529894Z,0.054301961,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:06.649491045Z,0.063183085,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:07.649315319Z,0.056873424,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:08.649758125Z,0.058195913,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:09.649095432Z,0.053804839,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:10.649479379Z,0.055074302,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:11.649135865Z,0.058406615,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:12.649030793Z,0.056011838,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:13.649543321Z,0.054375619,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:14.649713233Z,0.053189822,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:15.649319233Z,0.058246373,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:16.649125473Z,0.058424935,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:17.649120215Z,0.050247637,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:18.649267387Z,0.055062557,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:19.649872649Z,0.056318432,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:20.649753176Z,0.054212589,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:21.649849993Z,0.051638132,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:22.649208417Z,0.031011101,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:23.649212532Z,0.023287005,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:24.649098733Z,0.054893106,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:25.650040844Z,0.05400002,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:26.649430305Z,0.055582647,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:27.649148258Z,0.053760284,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:28.649176094Z,0.052987402,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:29.649362944Z,0.052393637,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:30.649262198Z,0.053350711,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:31.649966122Z,0.050854344,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:32.649149634Z,0.049986992,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:33.649102241Z,0.047316199,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:34.650078286Z,0.049688904,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:35.649528835Z,0.049978495,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:36.649671572Z,0.031776842,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:37.649612113Z,0.055248267,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:38.649661046Z,0.049841813,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:39.649572879Z,0.054352145,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:40.64899544Z,0.052589492,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:41.64964344Z,0.032663085,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:42.649650381Z,0.051188377,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:43.649366449Z,0.051504416,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:44.649585154Z,0.047085633,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:45.649601185Z,0.035155443,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:46.649690261Z,0.036707067,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:47.649212788Z,0.052328552,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:48.649934739Z,0.05169571,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:49.649875821Z,0.053731534,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:50.649506985Z,0.049467934,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:51.649207094Z,0.05092297,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:52.649643205Z,0.054903701,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:53.649450287Z,0.054224628,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:54.649158156Z,0.054434013,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:55.64905537Z,0.050711397,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:56.649193646Z,0.049542676,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:57.649100807Z,0.049396257,p50,dimmer_response_time
,,0,2021-05-10T11:17:32Z,2021-05-10T13:49:06Z,2021-05-10T11:18:58.649298001Z,0.051752726,p50,dimmer_response_time
