,result,table,_start,_stop,_value,session_id,_time
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:41:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:41:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:42:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:42:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,20,2021-05-14T11:43:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,98,2021-05-14T11:43:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:44:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:44:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:45:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:45:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:46:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:46:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:47:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:47:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:48:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:48:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:49:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:49:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:50:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:50:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:51:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:51:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:52:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:52:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:53:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:53:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:54:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:54:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:55:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:55:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:56:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:56:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:57:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:57:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:58:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:58:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:59:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T11:59:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:00:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:00:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:01:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:01:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:02:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:02:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:03:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:03:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:04:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:04:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:05:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:05:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:06:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:06:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:07:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:07:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:08:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:08:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:09:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:09:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:10:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:10:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:11:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:11:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:12:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:12:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:13:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,12,2021-05-14T12:13:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,112,2021-05-14T12:14:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:14:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:15:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:15:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:16:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:16:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:17:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:17:30Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:18:00Z
,,0,2021-05-14T11:40:48Z,2021-05-14T14:13:01Z,high,0,2021-05-14T12:18:30Z
