,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:41.94988792Z,0,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:42.949922815Z,0,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:43.949290908Z,0.008697685,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:44.949560304Z,0.010542497,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:45.950072764Z,0.012199697,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:46.94980135Z,0.014209055,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:47.949626804Z,0.019779941,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:48.949598757Z,0.020963286,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:49.949077942Z,0.019125805,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:50.949321516Z,0.024131289,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:51.949007979Z,0.026875302,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:52.949319306Z,0.018896256,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:53.949055121Z,0.023681206,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:54.949468691Z,0.055709313,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:55.949481438Z,1.056397611,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:56.949177021Z,0.053655986,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:57.949699282Z,0.059573337,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:58.949636414Z,0.057464294,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:24:59.949123126Z,0.057595208,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:00.94967802Z,0.055824363,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:01.948968146Z,0.060532933,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:02.949343102Z,0.060078366,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:03.949760838Z,0.05645958,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:04.949365062Z,0.055717747,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:05.94935515Z,0.055462799,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:06.949427228Z,0.067388412,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:07.949621568Z,0.057965168,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:08.949301493Z,0.059268115,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:09.94998991Z,0.057542274,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:10.949292091Z,0.058315763,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:11.949479981Z,0.056324484,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:12.948934291Z,0.057215072,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:13.949016539Z,0.05638364,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:14.949093329Z,0.056185535,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:15.949654108Z,0.061362939,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:16.948978902Z,0.05430107,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:17.949122727Z,0.060220638,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:18.94987748Z,0.05781289,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:19.949997884Z,0.060097366,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:20.949622556Z,0.055779646,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:21.949215888Z,0.0636907,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:22.949979101Z,0.057273657,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:23.949978973Z,0.056545624,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:24.94949019Z,0.056811139,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:25.949037964Z,0.05482343,p50,dimmer_response_time
,,0,2021-05-11T11:24:41Z,2021-05-11T13:56:58Z,2021-05-11T11:25:26.94928981Z,0.062291113,p50,dimmer_response_time
