,result,table,_start,_stop,_value,session_id,_time
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:45:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:46:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:46:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:47:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,4,2021-05-17T15:47:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,234,2021-05-17T15:48:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:48:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:49:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:49:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:50:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:50:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:51:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:51:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:52:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:52:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:53:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:53:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:54:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:54:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:55:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:55:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:56:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:56:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:57:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:57:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:58:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:58:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:59:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T15:59:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:00:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:00:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:01:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:01:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:02:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:02:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:03:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:03:30Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:04:00Z
,,0,2021-05-17T15:45:27Z,2021-05-17T16:15:37Z,high,0,2021-05-17T16:04:30Z
